title,url,releaseDate
The APENFT (NFT) Airdrop Program Has Now Concluded,https://www.binance.com/en/support/announcement/The-APENFT-NFT-Airdrop-Program-Has-Now-Concluded-deb0ba55bb674b69a40204c911b0cdd4,1680577209680
"Binance Completes 17th Round of APENFT (NFT) Airdrop Distribution to TRON (TRX), BitTorrent OLD (BTTOLD), BitTorrent (BTTC), JUST (JST), and WINkLink (WIN) Holders",https://www.binance.com/en/support/announcement/Binance-Completes-17th-Round-of-APENFT-NFT-Airdrop-Distribution-to-TRON-TRX--BitTorrent-OLD-BTTOLD--BitTorrent-BTTC--JUST-JST--and-WINkLink-WIN-Holders-2d133c0fbf09408b88017b97fd7f8dcb,1674717005080
Binance Completes the Flare (FLR) Airdrop Distribution to XRP (XRP) Holders,https://www.binance.com/en/support/announcement/Binance-Completes-the-Flare-FLR-Airdrop-Distribution-to-XRP-XRP-Holders-540372a7215b438fbb1eab23e041ad1d,1673335204537
"Binance Completes 16th Round of APENFT (NFT) Airdrop Distribution to TRON (TRX), BitTorrent OLD (BTTOLD), BitTorrent (BTTC), JUST (JST), and WINkLink (WIN) Holders",https://www.binance.com/en/support/announcement/Binance-Completes-16th-Round-of-APENFT-NFT-Airdrop-Distribution-to-TRON-TRX--BitTorrent-OLD-BTTOLD--BitTorrent-BTTC--JUST-JST--and-WINkLink-WIN-Holders-7e63fa3b01844256bc14e4c6f489b196,1672887627477
Binance Completes Second Round of Terra (LUNA) Airdrop Distribution to Terra Classic (LUNC) and TerraClassicUSD (USTC) Holders,https://www.binance.com/en/support/announcement/Binance-Completes-Second-Round-of-Terra-LUNA-Airdrop-Distribution-to-Terra-Classic-LUNC-and-TerraClassicUSD-USTC-Holders-6c9ca64a94064973a273328edc99019a,1671678019660
"Binance Completes 15th Round of APENFT (NFT) Airdrop Distribution to TRON (TRX), BitTorrent OLD (BTTOLD), BitTorrent (BTTC), JUST (JST), and WINkLink (WIN) Holders",https://www.binance.com/en/support/announcement/Binance-Completes-15th-Round-of-APENFT-NFT-Airdrop-Distribution-to-TRON-TRX--BitTorrent-OLD-BTTOLD--BitTorrent-BTTC--JUST-JST--and-WINkLink-WIN-Holders-56a05e56e1f441d9b11865ca97fc62fd,1669345503457
Binance Will Support the pNetwork (PNT) Recovery Plan to Airdrop BNB (BEP20) to pGALA (BEP20) Holders,https://www.binance.com/en/support/announcement/Binance-Will-Support-the-pNetwork-PNT-Recovery-Plan-to-Airdrop-BNB-BEP20-to-pGALA-BEP20-Holders-a8ba16c0d502446788da7aa19eb4c2da,1667883022959
"Binance Completes 14th Round of APENFT (NFT) Airdrop Distribution to TRON (TRX), BitTorrent OLD (BTTOLD), BitTorrent (BTTC), JUST (JST), and WINkLink (WIN) Holders",https://www.binance.com/en/support/announcement/Binance-Completes-14th-Round-of-APENFT-NFT-Airdrop-Distribution-to-TRON-TRX--BitTorrent-OLD-BTTOLD--BitTorrent-BTTC--JUST-JST--and-WINkLink-WIN-Holders-a1f73dfec7854bf9a83c4a268dda305e,1665457503105
"Binance Completes 13th Round of APENFT (NFT) Airdrop Distribution to TRON (TRX), BitTorrent OLD (BTTOLD), BitTorrent (BTTC), JUST (JST), and WINkLink (WIN) Holders",https://www.binance.com/en/support/announcement/Binance-Completes-13th-Round-of-APENFT-NFT-Airdrop-Distribution-to-TRON-TRX--BitTorrent-OLD-BTTOLD--BitTorrent-BTTC--JUST-JST--and-WINkLink-WIN-Holders-14cf3c58a62e4dcc9400cc285a960555,1661938203041
Binance Completes the Eighth Round of BEL Airdrop Distribution,https://www.binance.com/en/support/announcement/Binance-Completes-the-Eighth-Round-of-BEL-Airdrop-Distribution-d4b2e1f7153c43db94d389715f055823,1661404201452
"Binance Completes the Twelfth Round of APENFT (NFT) Airdrop Distribution to TRON (TRX), BitTorrent OLD (BTTOLD), BitTorrent (BTTC), JUST (JST), and WINkLink (WIN) Holders",https://www.binance.com/en/support/announcement/Binance-Completes-the-Twelfth-Round-of-APENFT-NFT-Airdrop-Distribution-to-TRON-TRX--BitTorrent-OLD-BTTOLD--BitTorrent-BTTC--JUST-JST--and-WINkLink-WIN-Holders-a09cf8d4c5a946d38ebd443c9e51ea22,1659931377403
"Binance Completes the Eleventh Round of APENFT (NFT) Airdrop Distribution to TRON (TRX), BitTorrent OLD (BTTOLD), BitTorrent (BTTC), JUST (JST), and WINkLink (WIN) Holders",https://www.binance.com/en/support/announcement/Binance-Completes-the-Eleventh-Round-of-APENFT-NFT-Airdrop-Distribution-to-TRON-TRX--BitTorrent-OLD-BTTOLD--BitTorrent-BTTC--JUST-JST--and-WINkLink-WIN-Holders-661e62a9b62643189d354839c4bd40f8,1658304603875
Binance Completes the Origin Dollar Governance (OGV) Airdrop Distribution to Origin Protocol (OGN) Holders,https://www.binance.com/en/support/announcement/Binance-Completes-the-Origin-Dollar-Governance-OGV-Airdrop-Distribution-to-Origin-Protocol-OGN-Holders-4468892a6c494657b9f65bb9d546bd7b,1657854012013
Binance Completes the Seventh Round of BEL Airdrop Distribution,https://www.binance.com/en/support/announcement/Binance-Completes-the-Seventh-Round-of-BEL-Airdrop-Distribution-169cdbcb76ea4dd5a8e99e13e7ca157b,1657250403959
Binance Will Support the Origin Dollar Governance (OGV) Airdrop for Origin Protocol (OGN) Holders,https://www.binance.com/en/support/announcement/Binance-Will-Support-the-Origin-Dollar-Governance-OGV-Airdrop-for-Origin-Protocol-OGN-Holders-7f7464e238fa45409b454912e874cb5f,1655712001797
"Binance Completes the Tenth Round of APENFT (NFT) Airdrop Distribution to TRON (TRX), BitTorrent OLD (BTTOLD), BitTorrent (BTTC), JUST (JST), and WINkLink (WIN) Holders",https://www.binance.com/en/support/announcement/Binance-Completes-the-Tenth-Round-of-APENFT-NFT-Airdrop-Distribution-to-TRON-TRX--BitTorrent-OLD-BTTOLD--BitTorrent-BTTC--JUST-JST--and-WINkLink-WIN-Holders-156ebfd592f24fa99ca943c0ef26f6d1,1649732403548
"Binance Completes the Ninth Round of APENFT (NFT) Airdrop Distribution to TRON (TRX), BitTorrent OLD (BTTOLD), BitTorrent (BTTC), JUST (JST), and WINkLink (WIN) Holders",https://www.binance.com/en/support/announcement/Binance-Completes-the-Ninth-Round-of-APENFT-NFT-Airdrop-Distribution-to-TRON-TRX--BitTorrent-OLD-BTTOLD--BitTorrent-BTTC--JUST-JST--and-WINkLink-WIN-Holders-46bb1871c9c04df08a41e0b52a994a16,1647583306781
Binance Completes the Sixth Round of BEL Airdrop Distribution,https://www.binance.com/en/support/announcement/Binance-Completes-the-Sixth-Round-of-BEL-Airdrop-Distribution-edfe4dfacbe842c4b2848d5e819b4d54,1644898648467
